"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 13:49:55 CST 2024","Tue Jun 11 13:50:05 CST 2024","10108","test_cases.step_defs.bms","test_06_access_strategy","","","","管理员登录限制-录入限制范围-录入ip","E:\Wondersoft_WebUITest\test_cases\features\bms\access_strategy.feature: 管理员登录限制-录入限制范围-录入ip"
"passed","Tue Jun 11 13:55:32 CST 2024","Tue Jun 11 13:55:41 CST 2024","8999","test_cases.step_defs.bms","test_15_doc_finger","","","","删除文件指纹","E:\Wondersoft_WebUITest\test_cases\features\bms\doc_finger.feature: 删除文件指纹"
"failed","Tue Jun 11 13:53:42 CST 2024","Tue Jun 11 13:54:19 CST 2024","36455","test_cases.step_defs.bms","test_13_dlp_doc_rules","","","","新增关键字规则-规则详情中包含中文逗号","E:\Wondersoft_WebUITest\test_cases\features\bms\dlp_doc_rules.feature: 新增关键字规则-规则详情中包含中文逗号"
"passed","Tue Jun 11 13:51:44 CST 2024","Tue Jun 11 13:52:16 CST 2024","32086","test_cases.step_defs.bms","test_09_sys_email","","","","系统邮箱配置","E:\Wondersoft_WebUITest\test_cases\features\bms\sys_email.feature: 系统邮箱配置"
"passed","Tue Jun 11 13:48:44 CST 2024","Tue Jun 11 13:48:56 CST 2024","12003","test_cases.step_defs.bms","test_03_custom_group","","","","新增自定义用户组","E:\Wondersoft_WebUITest\test_cases\features\bms\custom_group.feature: 新增自定义用户组"
"passed","Tue Jun 11 13:46:03 CST 2024","Tue Jun 11 13:46:08 CST 2024","4927","test_cases.step_defs.bms","test_01_user_sync","","","","数据源配置查询","E:\Wondersoft_WebUITest\test_cases\features\bms\user_sync.feature: 数据源配置查询"
"passed","Tue Jun 11 13:55:54 CST 2024","Tue Jun 11 13:56:05 CST 2024","11008","test_cases.step_defs.bms","test_16_doc_md5","","","","删除文件MD5","E:\Wondersoft_WebUITest\test_cases\features\bms\doc_md5.feature: 删除文件MD5"
"passed","Tue Jun 11 13:55:50 CST 2024","Tue Jun 11 13:55:54 CST 2024","4352","test_cases.step_defs.bms","test_16_doc_md5","","","","文件MD5查询","E:\Wondersoft_WebUITest\test_cases\features\bms\doc_md5.feature: 文件MD5查询"
"passed","Tue Jun 11 13:45:15 CST 2024","Tue Jun 11 13:45:27 CST 2024","12738","test_cases.step_defs.bms","test_01_user_sync","","","","新增同步配置","E:\Wondersoft_WebUITest\test_cases\features\bms\user_sync.feature: 新增同步配置"
"broken","Tue Jun 11 13:56:05 CST 2024","Tue Jun 11 13:56:41 CST 2024","35725","test_cases.step_defs.bms","test_17_doc_attribute_rules","","","","新增文件类型属性规则","E:\Wondersoft_WebUITest\test_cases\features\bms\doc_attribute_rules.feature: 新增文件类型属性规则"
